GENDER,CATEGORY,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,SKU,NAME,COLOR NAME,HEIGHT INCH,HEIGHT CM,WAIST IN,WAIST CM,INSEAM INCH,INSEAM CM,SIZE
MEN,TRAINING,2031C721_400,ｽｳｴﾂﾄﾌﾟﾙｵｰﾊﾞｰﾌｰﾃﾞｲ,ﾋﾟｰｺｰﾄ,2031C723_400,ｽｳｴﾂﾄﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,TRAINING,2031C723_400,ｽｳｴﾂﾄﾊﾟﾝﾂ,ﾋﾟｰｺｰﾄ,2031C721_400,ｽｳｴﾂﾄﾌﾟﾙｵｰﾊﾞｰﾌｰﾃﾞｲ,ﾋﾟｰｺｰﾄ,,,,1201A297_001,GEL-QUANTUM 180,BLACK,"5' 10""",177cm,29'',73.66cm,29'',73.66cm,Large
MEN,T&F,2091A437_001,TRACK ELITE ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸ,2091A438_001,TRACK ELITE ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,　,,,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A438_001,TRACK ELITE ﾊﾟﾝﾂ,Pﾌﾞﾗﾂｸ,2091A437_001,TRACK ELITE ｼﾞﾔｹﾂﾄ,Pﾌﾞﾗﾂｸ,　,,,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A439_404,TRACK ELITE LSﾄﾂﾌﾟ,ｽﾄｰﾑﾌﾞﾙｰ,2091A440_001,TRACK ELITE ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A439_001,TRACK ELITE LSﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,2091A440_001,TRACK ELITE ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A440_001,TRACK ELITE ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ,2091A439_001,TRACK ELITE LSﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,2091A447_404,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｽﾄｰﾑﾌﾞﾙｰ,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A447_404,ｶｽﾀﾑ ﾛﾝｸﾞｽﾘｰﾌﾞﾄﾂﾌﾟ,ｽﾄｰﾑﾌﾞﾙｰ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
MEN,T&F,2091A434_001,TRACK ELITE SSﾄﾂﾌﾟ,Pﾌﾞﾗﾂｸ,2091A448_003,ｳｵｰﾑ ﾛﾝｸﾞﾀｲﾂ,Pﾌﾞﾗﾂｸ/SB,3093A079_402,Socks,Blue,1093A087_402,HYPERSPRINT 7,BLUE,6'1'',185cm,29'',74cm,32'',81cm,Large
