PRODUCT_ID,PRODUCT_GENDER,PRODUCT_WIDTH,PRODUCT_ID_NARROW,PRODUCT_ID_STANDARD,PRODUCT_ID_WIDE,PRODUCT_ID_EXTRAWIDE
ANA_1011B444-400,Male,Standard,,ANA_1011B444-400,ANA_1011B188-021,ANA_1011B191-005
ANA_1011A862-020,Male,Standard,,ANA_1011A862-020,,ANA_1011A863-021
ANA_1012B035-100,Female,Standard,,ANA_1012B035-100,ANA_1012B037-001,
ANA_1011B189-401,Male,Standard,,ANA_1011B189-001,ANA_1011B188-021,ANA_1011B191-005
ANA_1012B085-101,Female,Standard,,ANA_1012B085-101,ANA_1012A915-002,
ANA_1012A885-413,Female,Standard,,ANA_1012A885-412,ANA_1012A884-412,
ANA_1011B004-001,Male,Standard,,ANA_1011B004-029,ANA_1011B006-020,ANA_1011B005-001
ANA_1012B047-402,Female,Standard,ANA_1012B048-003,ANA_1012B047-402,ANA_1012B046-402,
ANA_1012B047-004,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1011A667-002,Male,Standard,,ANA_1011A667-002,,ANA_1011A666-400
ANA_1011B004-001,Male,Standard,,ANA_1011B004-001,ANA_1011B006-001,ANA_1011B005-001
ANA_1012B047-700,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
ANA_1012B047-700,Female,Standard,ANA_1012B048-003,ANA_1012B047-700,ANA_1012B046-700,
ANA_1011A767-003,Male,Standard,,ANA_1011A767-003,ANA_1011A835-001,ANA_1011A833-003
ANA_1012B047-020,Female,Standard,ANA_1012B048-003,ANA_1012B047-020,ANA_1012B046-020,
ANA_1012A911-022,Female,Standard,,ANA_1012A911-022,ANA_1012A910-022,
ANA_1011B359-400,Male,Standard,,ANA_1011B359-400,ANA_1011B361-400,ANA_1011B363-002
ANA_1012B047-401,Female,Standard,ANA_1012B048-003,ANA_1012B047-021,ANA_1012B046-021,
