PRODUCT_GENDER,STYLE_NUMBER,PRODUCT_URL,PRODUCT_NAME_C,PRODUCT_NAME_CLEAN,PRODUCT_COLOR,PRODUCT_WIDTH,ORDERS,PRODUCT_URL_NARROW,PRODUCT_URL_STANDARD,PRODUCT_URL_WIDE,PRODUCT_URL_EXTRAWIDE
Male,1011B189,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-021.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1425,,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,https://www.asics.com/us/en-us/gel-kayano-28--2e/p/ANA_1011B188-021.html,https://www.asics.com/us/en-us/gel-kayano-28-4e/p/ANA_1011B191-005.html
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-002.html,GEL-NIMBUS 23,GEL-NIMBUS 23,BLACK/BLACK,Standard,1354,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-002.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-002.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-600.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1354,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Female,1012B284,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B284-100.html,GEL-NIMBUS 24,GEL-NIMBUS 24,WHITE/PINK GLO,Standard,1346,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B284-100.html,https://www.asics.com/us/en-us/gel-nimbus-24-d/p/ANA_1012B199-400.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-402.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1325,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
Male,1011B359,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-002.html,GEL-NIMBUS 24,GEL-NIMBUS 24,BLACK/BLACK,Standard,1308,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-002.html,https://www.asics.com/us/en-us/gel-nimbus-24-2e/p/ANA_1011B361-001.html,https://www.asics.com/us/en-us/gel-nimbus-24-4e/p/ANA_1011B363-002.html
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-600.html,GEL-KAYANO 27,GEL-KAYANO 27,CLASSIC RED/BLACK,Standard,1283,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-600.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-001.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1277,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-401.html,GEL-KAYANO 27,GEL-KAYANO 27,FRENCH BLUE/DIGITAL AQUA,Standard,1259,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-401.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Male,1011B189,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,GEL-KAYANO 28,GEL-KAYANO 28,BLACK/GRAPHITE GREY,Standard,1257,,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,https://www.asics.com/us/en-us/gel-kayano-28--2e/p/ANA_1011B188-001.html,https://www.asics.com/us/en-us/gel-kayano-28-4e/p/ANA_1011B191-001.html
Female,1012B281,https://www.asics.com/us/en-us/gel-excite-9/p/ANA_1012B281-100.html,GEL-EXCITE 9,GEL-EXCITE 9,,Standard,1256,,https://www.asics.com/us/en-us/gel-excite-9/p/ANA_1012B281-100.html,https://www.asics.com/us/en-us/gel-excite-9-d/p/ANA_1012B183-400.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-402.html,GEL-NIMBUS 23,GEL-NIMBUS 23,GRAND SHARK/DIGITAL AQUA,Standard,1253,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-402.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-402.html,
Female,1012A649,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-404.html,GEL-KAYANO 27,GEL-KAYANO 27,LILAC OPAL/PURE SILVER,Standard,1244,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1012A649-404.html,https://www.asics.com/us/en-us/gel-kayano-27-d/p/ANA_1012A713-020.html,
Female,1012A592,https://www.asics.com/us/en-us/gt-2000-8-d/p/ANA_1012A592-002.html,GT-2000 8 (D),GT-2000 8,BLACK/ROSE GOLD,Wide,1240,https://www.asics.com/us/en-us/gt-2000-8-2a/p/ANA_1012A594-002.html,https://www.asics.com/us/en-us/gt-2000-8/p/ANA_1012A591-002.html,https://www.asics.com/us/en-us/gt-2000-8-d/p/ANA_1012A592-002.html,
Male,1011B004,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-029.html,GEL-NIMBUS 23,GEL-NIMBUS 23,PIEDMONT GREY/ELECTRIC BLUE,Standard,1174,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-029.html,https://www.asics.com/us/en-us/gel-nimbus-23-2e/p/ANA_1011B006-020.html,https://www.asics.com/us/en-us/gel-nimbus-23-4e/p/ANA_1011B005-001.html
Male,1011B004,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-029.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1157,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-029.html,https://www.asics.com/us/en-us/gel-nimbus-23-2e/p/ANA_1011B006-020.html,https://www.asics.com/us/en-us/gel-nimbus-23-4e/p/ANA_1011B005-001.html
Female,1012B201,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-700.html,GEL-NIMBUS 24,GEL-NIMBUS 24,BARELY ROSE/WHITE,Standard,1154,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-700.html,https://www.asics.com/us/en-us/gel-nimbus-24-d/p/ANA_1012B199-400.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-100.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1146,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-300.html,GEL-KAYANO 27,GEL-KAYANO 27,LIME ZEST/PERFORMANCE BLACK,Standard,1144,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-300.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Male,1011B004,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-002.html,GEL-NIMBUS 23,GEL-NIMBUS 23,BLACK/BLACK,Standard,1133,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-002.html,https://www.asics.com/us/en-us/gel-nimbus-23-2e/p/ANA_1011B006-002.html,https://www.asics.com/us/en-us/gel-nimbus-23-4e/p/ANA_1011B005-002.html
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-400.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1128,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
Male,1011A835,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,GEL-KAYANO 27 (2E),GEL-KAYANO 27,BLACK/PURE S ILVER,Wide,1123,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Female,1012A741,https://www.asics.com/us/en-us/gel-cumulus-22/p/ANA_1012A741-001.html,GEL-CUMULUS 22,GEL-CUMULUS 22,BLACK/PINK GLO,Standard,1123,,https://www.asics.com/us/en-us/gel-cumulus-22/p/ANA_1012A741-001.html,https://www.asics.com/us/en-us/gel-cumulus-22-d/p/ANA_1012A738-020.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-400.html,GEL-NIMBUS 23,GEL-NIMBUS 23,SMOKE BLUE/PURE SILVER,Standard,1114,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-400.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-003.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1094,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Male,1011B359,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-003.html,GEL-NIMBUS 24,GEL-NIMBUS 24,BLACK/LAKE DRIVE,Standard,1089,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-003.html,https://www.asics.com/us/en-us/gel-nimbus-24-2e/p/ANA_1011B361-001.html,https://www.asics.com/us/en-us/gel-nimbus-24-4e/p/ANA_1011B363-002.html
Male,1011B004,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-002.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1088,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1011B004-029.html,https://www.asics.com/us/en-us/gel-nimbus-23-2e/p/ANA_1011B006-020.html,https://www.asics.com/us/en-us/gel-nimbus-23-4e/p/ANA_1011B005-001.html
Female,1012B201,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-001.html,GEL-NIMBUS 24,GEL-NIMBUS 24,BLACK/PURE SILVER,Standard,1082,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-001.html,https://www.asics.com/us/en-us/gel-nimbus-24-d/p/ANA_1012B199-400.html,
Female,1012A741,https://www.asics.com/us/en-us/gel-cumulus-22/p/ANA_1012A741-400.html,GEL-CUMULUS 22,GEL-CUMULUS 22,GREY FLOSS/WHITE,Standard,1080,,https://www.asics.com/us/en-us/gel-cumulus-22/p/ANA_1012A741-400.html,https://www.asics.com/us/en-us/gel-cumulus-22-d/p/ANA_1012A738-020.html,
Female,1012A859,https://www.asics.com/us/en-us/gt-2000-9/p/ANA_1012A859-023.html,GT-2000 9,GT-2000 9,PIEDMONT GREY/PURE S ILVER,Standard,1078,https://www.asics.com/us/en-us/gt-2000-9-2a/p/ANA_1012A863-400.html,https://www.asics.com/us/en-us/gt-2000-9/p/ANA_1012A859-023.html,https://www.asics.com/us/en-us/gt-2000-9-2e/p/ANA_1012A862-002.html,
Female,1012A859,https://www.asics.com/us/en-us/gt-2000-9/p/ANA_1012A859-023.html,GT-2000 9,GT-2000 9,PIEDMONT GREY/PURE S ILVER,Standard,1078,https://www.asics.com/us/en-us/gt-2000-9-2a/p/ANA_1012A863-400.html,https://www.asics.com/us/en-us/gt-2000-9/p/ANA_1012A859-023.html,https://www.asics.com/us/en-us/gt-2000-9-d/p/ANA_1012A861-400.html,
Male,1011B189,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-400.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1074,,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1011B189-001.html,https://www.asics.com/us/en-us/gel-kayano-28--2e/p/ANA_1011B188-021.html,https://www.asics.com/us/en-us/gel-kayano-28-4e/p/ANA_1011B191-005.html
Male,1011A767,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-600.html,GEL-KAYANO 27,GEL-KAYANO 27,,Standard,1070,,https://www.asics.com/us/en-us/gel-kayano-27/p/ANA_1011A767-001.html,https://www.asics.com/us/en-us/gel-kayano-27-2e/p/ANA_1011A835-001.html,https://www.asics.com/us/en-us/gel-kayano-27-4e/p/ANA_1011A833-001.html
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-702.html,GEL-KAYANO 28,GEL-KAYANO 28,BARELY ROSE/WHITE,Standard,1066,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-702.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-702.html,
Female,1012B201,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-100.html,GEL-NIMBUS 24,GEL-NIMBUS 24,WHITE/PURE SILVER,Standard,1065,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-100.html,https://www.asics.com/us/en-us/gel-nimbus-24-d/p/ANA_1012B199-400.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-001.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1050,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Female,1012B201,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-020.html,GEL-NIMBUS 24,GEL-NIMBUS 24,PIEDMONT GREY/LIME GREEN,Standard,1039,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1012B201-020.html,https://www.asics.com/us/en-us/gel-nimbus-24-d/p/ANA_1012B199-020.html,
Female,1012A885,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-002.html,GEL-NIMBUS 23,GEL-NIMBUS 23,,Standard,1018,,https://www.asics.com/us/en-us/gel-nimbus-23/p/ANA_1012A885-412.html,https://www.asics.com/us/en-us/gel-nimbus-23-d/p/ANA_1012A884-412.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-702.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1009,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-402.html,GEL-KAYANO 28,GEL-KAYANO 28,,Standard,1004,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-021.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Male,1011B359,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-001.html,GEL-NIMBUS 24,GEL-NIMBUS 24,BLACK/WHITE,Standard,984,,https://www.asics.com/us/en-us/gel-nimbus-24/p/ANA_1011B359-001.html,https://www.asics.com/us/en-us/gel-nimbus-24-2e/p/ANA_1011B361-001.html,https://www.asics.com/us/en-us/gel-nimbus-24-4e/p/ANA_1011B363-002.html
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-100.html,GEL-KAYANO 28,GEL-KAYANO 28,WHITE/OASIS GREEN,Standard,977,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-100.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
Female,1012B047,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-004.html,GEL-KAYANO 28,GEL-KAYANO 28,BLACK/SAGE,Standard,933,https://www.asics.com/us/en-us/gel-kayano-28-2a/p/ANA_1012B048-003.html,https://www.asics.com/us/en-us/gel-kayano-28/p/ANA_1012B047-004.html,https://www.asics.com/us/en-us/gel-kayano-28-d/p/ANA_1012B046-021.html,
